generated,actual
A bridge is over a green river with some plants and buildings on both sides of the river .,A bridge built on a dark green river and some buildings on one side of the river .
A bridge is over a river with some islands in it .,A bridge is built on a dark green river and the river has a channel bar .
A bridge is over a river with some plants in two sides of it .,"A bridge built on a dark green river and the residential area on one side of the river, And some green plants on the other side of the river ."
A bridge is over a green river .,A bridge built on a dark green river and the vacant lot on both sides of the river .
A bridge is over a river with some green plants and a parking lot on both sides of the river .,"Two bridges built on a dark green river and some buildings on one side of the river, And some green plants on the other side of the river ."
A bridge is over a dark green river with some green plants on both sides of the river .,A bridge built on a dark green river and a harbor on one side of the river .
A bridge is over a river in a green area .,A bridge built on a dark green river and the lawn on both sides of the river .
This is a forest with lots of green plants in the shadow .,A lot of green chaparrals grow on the wasteland and some dirt roads go through the wasteland .
many small chaparrals grow in the desert .,Some disconnected chaparrals grow in the desert .
This is a desert with sparse plants .,Some disconnected chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some green chaparrals of different sizes grow in the desert .
This is a desert with yellow plants .,A lot of small chaparrals grow in the desert .
many small chaparrals grow in the desert .,A lot of dense chaparrals grow in the desert .
many small chaparrals grow in the desert .,Some disconnected chaparrals grow in the desert .
This is a part of a piece of dim sparse forest .,Some disconnected chaparrals of different sizes grow on the wasteland .
many small chaparrals grow in the desert .,A lot of small chaparrals grow in the desert .
This is a desert with sparse plants .,Some green chaparrals of different sizes grow in the desert .
Some sparse greenness chaparrals grow in the desert .,Some green chaparrals of different sizes grow in the desert and the dry river channel beside .
It is a piece of irregular bare land .,Some chaparrals of different kinds and sizes grow in the desert and some roads go through the desert .
many small chaparrals grow in the desert .,A lot of small chaparrals grow in the desert .
many small chaparrals grow in the desert .,Some disconnected chaparrals of different sizes grow on the wasteland .
This is a forest with lots of green plants in the shadow .,Some connected green chaparrals grow on the wasteland and a dirt road goes through the wasteland .
Some sparse greenness chaparrals grow in the desert .,Some disconnected green chaparrals grow in the desert .
many small chaparrals grow in the desert .,A lot of dense chaparrals grow in the desert .
This is a desert with many sparse plants .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,Some green chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,A lot of chaparrals of different sizes grow in the desert .
Some sparse green chaparrals grow in the desert .,Some disconnected green chaparrals grow in the desert .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,Some green chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some green chaparrals grow in the desert .
Some sparse chaparrals grow in the desert .,Some disconnected green chaparrals grow in the desert .
This is a forest with green and grey plants .,Some chaparrals of different kinds and sizes grow on the wasteland .
many small chaparrals grow in the desert .,Some small chaparrals grow in the desert .
many small chaparrals grow in the desert .,A lot of chaparrals grow in the desert .
many small chaparrals grow in the desert .,A lot of small chaparrals grow in the desert .
many small chaparrals grow in the desert .,A lot of disconnected chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some disconnected green chaparrals grow in the desert .
many commons trees are scattered in the wasteland .,Some connected chaparrals of different sizes grow on the wasteland .
many sparse chaparrals grow in the desert .,Some disconnected chaparrals grow in the desert and a road goes through the desert .
Some sparse greenness chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,Some chaparrals of different sizes grow in the desert .
This is a part of a desert with many sparse plants .,A lot of chaparrals grow in the desert and some roads go through the desert .
This is a part of a desert with many sparse plants .,Some disconnected chaparrals of different sizes grow in the desert and the dry river channel beside .
This is a part of a mountain with many small rocks and plants .,A lot of small chaparrals grow in the desert and some roads go through the desert .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
This is a desert with yellow sand and some sparse plants .,Some green chaparrals of different sizes grow in the desert .
Some sparse green trees are scattered in the wasteland .,Some disconnected green chaparrals grow on the wasteland .
Some sparse chaparrals grow in the desert .,Some disconnected chaparrals grow in the desert .
many small chaparrals grow in the desert .,Some connected chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,A lot of chaparrals of different sizes grow in the desert and a road goes through the desert .
It is a piece of gray desert .,Some small chaparrals grow in the desert and the dry river channel beside .
many small chaparrals grow in the desert .,Some disconnected green chaparrals grow in the desert .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,Some disconnected chaparrals grow in the desert .
This is a desert with sparse plants .,Some chaparrals of different sizes grow in the desert and some roads go through the desert .
It is a river with some plants on both banks of the river .,Some green chaparrals of different sizes grow in the desert and the dry river channel beside .
Some sparse green chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
Some sparse greenness trees are in a piece of wasteland .,Some disconnected green chaparrals grow on the wasteland .
This is a forest with lots of green plants in the shadow .,Some connected chaparrals of different sizes grow on the wasteland and a dirt road goes through the wasteland .
many small chaparrals grow in the desert .,A lot of chaparrals grow in the desert .
Lots of connected green trees are in the clearing .,Some connected chaparrals of different sizes grow on the wasteland and a dirt road goes through the wasteland .
This is a forest with lots of green plants in the shadow .,A lot of green chaparrals grow on the wasteland and a dirt road goes through the wasteland .
Some sparse chaparrals grow in the desert .,Some sparse chaparrals grow in the desert .
Some sparse chaparrals grow in the desert .,Some sparse chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
Lots of small chaparrals grow in the desert .,Some connected chaparrals of different sizes grow on the wasteland .
many small chaparrals grow in the desert .,Some chaparrals of different kinds and sizes grow in the desert .
many small chaparrals grow in the desert .,A lot of dense chaparrals grow in the desert .
This is a desert with sparse plants .,A lot of green chaparrals grow in the desert .
This is a part of a mountain with a lot of plants .,Some green chaparrals of different sizes grow on the wasteland and some dirt roads go through the wasteland .
This is a desert with yellow plants .,A lot of small chaparrals grow in the desert .
many greenness chaparrals grow in the desert .,Some disconnected green chaparrals grow on the wasteland .
This is a desert with yellow plants .,A lot of chaparrals of different sizes grow in the desert .
many small chaparrals grow in the desert .,Some sparse chaparrals of different sizes grow in the desert .
many small trees form a piece of forest .,A lot of dense chaparrals grow in the desert .
A church with a circular roof is surrounded by some buildings .,The church with a circular pointed tower and the rest of the church has some orange sloping roofs .
There is a church with orange roofs .,The church with two circular domes and the rest of the church has an orange sloping roof .
A church with a white tower is surrounded by some trees and buildings .,The church with a white circular pointed dome and the rest of the church has some orange roofs .
There is a church in the middle of the land .,The white church with two pointed towers and a circular tower is built in the vacant lot .
A church with a cross-shaped roof is surrounded by some trees .,The church with a tower and the rest of the church has a cross-shaped roof .
A church with a tower is surrounded by some other buildings .,The church with a circular pointed tower is built in the lawn .
A church with a circular roof is surrounded by other buildings .,The ring church with a circular dome and a square is in front of the church .
There are some buildings with white roofs .,The church with a green circular tower is surrounded by other buildings .
This is a church with orange roofs .,The church with some brown sloping roofs has some yards .
There is a church with orange roofs .,The church with some orange sloping roofs is surrounded by some trees and roads .
A church with a circular roof is surrounded by some trees .,The church with a circular dome is surrounded by other buildings and some trees .
There is a church in the middle of the land .,The church with some towers and the rest of the church has a cross-shaped roof .
A church with a green roof is surrounded by some bare trees .,The green church with some towers and the rest of the church has a cross-shaped roof .
A church with a green roof is surrounded by some trees and buildings .,The green church with a tower and the rest of the church has a cross-shaped roof .
A church with a tower is surrounded by some buildings and some cars parked beside the church .,The church with some towers is surrounded by other buildings and some trees .
A church with gray roofs is surrounded by trees and lawn in the sparse residential area .,The church with a cross-shaped roof is surrounded by some trees .
There is a church in the middle of the road .,The church with a tower and the rest of the church has some sloping roofs .
There is a church with orange roofs .,The church with a circular dome and the rest of the church has some brown roofs .
A church is surrounded by many green trees .,The church with a white cross-shaped roof is surrounded by some trees .
There is a church in the middle of the land .,The church with two tower and a circular pointed dome and the rest of the church has a sloping roof .
There is a church with gray roofs .,The church with two cross-shaped buildings and the park is next to it .
There is a church in the middle of the land .,The church with a white circular pointed tower and the rest of the church has an orange cross-shaped roof .
A church with a tower is surrounded by some bare trees and cars .,The church with a tower and the rest of the church has a cross-shaped sloping roof .
A commercial area with a circle building is surrounded by some trees .,The church with a big circular dome is surrounded by other buildings .
A church with a green circular roof is surrounded by some trees .,The church with a green circular dome is surrounded by some trees .
A church with a circular roof is surrounded by other buildings .,The church with a circular pointed tower and the rest of the church has some orange sloping roofs .
There are some buildings with grey roofs .,The church with a cross-shaped roof is surrounded by other buildings .
A church with a green circular roof is surrounded by some buildings .,The church with a green circular pointed tower and the rest of the church has some gray roofs .
A church is in the middle of the land .,The church with a circular dome is surrounded by other buildings and some roads .
There is a church in the middle of the land .,The church with a circular pointed tower and the rest of the church has a cross-shaped roof .
There are some buildings with brown roofs .,The church with a cross-shaped roof and the rest of the church has some brown sloping roofs .
There are some buildings with roof parking lot .,The church with a flat top tower and the rest of the church has a cross-shaped roof .
This is a church with a tower and a cross-shaped roof .,The church with an octagon pointed tower and the rest of the church has some orange roofs .
There are some buildings with a road around them .,The church with a square pointed dome is built on the corner .
A house is surrounded by trees and lawn in the sparse residential area .,The church with a cross-shaped roof is surrounded by some trees .
There is a church with a circular roof .,The church with some towers of different shapes and the rest of the church has some gray roofs .
There is a church in the middle of the square .,The church with a brown circular pointed tower and a white tower and the rest of the church has an orange cross-shaped roof .
There is a church in the middle of the land .,The green church with two pointed towers and a circular tower and a square is in front of the church .
A church with a tower and a white cross-shaped roof is surrounded by other buildings .,The church with a brown circular pointed tower and a white octagon tower is surrounded by other buildings .
There is a church in the middle of the land .,The church with a white circular dome is surrounded by other buildings .
There is a church in the middle of the land .,The church with a green sloping roof and the rest of the church has a gray T-shaped roof .
There is a church in the middle of the land .,The church with an orange octagon tower and a parking lot is next to it .
There is a church in the middle of the land .,The church with a green pointed tower is built in the open area .
There is a church in the middle of the land .,The church with a circular pointed tower and the rest of the church has some orange sloping roofs .
A church with a circular roof is surrounded by some buildings .,The church with a circular pointed tower is surrounded by other buildings .
There are some buildings with white roofs .,The church with a tower and the rest of the church has a green cross-shaped roof .
A church with two towers is surrounded by trees and a river is next to it .,The church with some pointed towers is surrounded by some trees .
There is a church in the middle of the square .,The church with two towers and the rest of the church has a T-shaped roof .
A church with a parking lot is surrounded by some trees .,The church with a tower and the rest of the church has a gray-green cross-shaped roof .
There is a church with a white circular roof .,The church with three white circular pointed towers and the rest of the church has an orange cross-shaped roof .
There is a church in the middle of the land .,The church with a gray cross-shaped roof and a square is next to it .
There is a church in the middle of the land .,The church with two pointed towers and an octagon dome and the rest of the church has an orange cross-shaped roof .
There is a church in the middle of the land .,The church with two white circular domes and a gray pointed tower and the rest of the church has a cross-shaped roof .
There is a church in the middle of the land .,The church with a pointed tower and an octagon tower and the rest of the church has some gray roofs .
A church with a tower is surrounded by some buildings .,The church with a green octagon tower and the rest of the church has a gray sloping roof .
A church with a cross-shaped roof is surrounded by some trees .,The church with a cross-shaped roof is surrounded by some trees .
There is a church in the middle of the land .,The church with a white circular dome and the rest of the church has some orange roofs .
There is a church in the middle of the land .,The church with a white circular pointed tower and the rest of the church has a cross-shaped sloping roof .
There is a church in the middle of the land .,The church with an octagon tower and a pointed tower and the rest of the church has an orange sloping roof .
A church is surrounded by trees and lawn in the sparse residential area .,The church with some gray sloping roofs is built in the lawn .
There is a church in the middle of the land .,The church with a pointed tower and the rest of the church has a gray cross-shaped roof .
There is a church with a circular roof .,The church with a green circular pointed tower and the rest of the church has an orange cross-shaped roof .
A church with a cross-shaped roof is surrounded by some trees and buildings .,The church with a tower and the rest of the church has a gray cross-shaped roof .
A white palace with a parking lot is surrounded by a lawn .,The white ring church with some towers is built in the lawn .
There is a church in the middle of the land .,The church with some pointed towers and the rest of the church has some gray sloping roofs .
There is a church in the middle of the land .,The church with a circular pointed tower and the rest of the church has a cross-shaped sloping roof .
This is a church with a tower and a green roof .,The church with a green octagon pointed dome and some orange octagon pointed domes and the rest of the church has some orange roofs .
A church with a green roof is surrounded by lots of houses arranged neatly .,The green cross-shaped church with two towers is surrounded by other buildings .
There is a church in the middle of the square .,The church with two circular towers and some pointed towers is built in a square .
A church with a cross-shaped roof is surrounded by trees and lawn in the sparse residential area .,The church with a tower and the rest of the church has a gray sloping roof .
There are two circular farmlands and a river with a channel bar .,Several green circular farmlands are neatly arranged on the wasteland and a river goes through the wasteland .
A circle farmland is surrounded by some other shapes of farmlands .,Two green circular farmlands are on the ground and some chaparrals beside .
There are some circular farmlands .,Several dark green circular farmlands are neatly arranged on the ground .
There are three circular farmlands .,Three dark green circular farmlands are surrounded by some other shapes of farmlands .
Five circular farmlands are surrounded by some other shapes of farmlands .,Four dark green circular farmlands are surrounded by some other shapes of farmlands .
There are some farmlands around the square .,Several khaki circular farmlands with different radii and a green circular farmlands are surrounded by some square farmlands .
There are some circular farmlands .,Several green circular farmlands with different radii are neatly arranged on the wasteland .
There are many circular farmlands .,Several circular farmlands with different colors are neatly arranged on the ground and some rectangular farmlands beside .
many circular farmlands are neatly arranged on the ground .,Several dark green circular or fan-shaped farmlands with different radians are surrounded by some other shapes of farmlands .
There are many circular farmlands .,Several green circular farmlands are next to some rectangular farmlands .
Four khaki circular farmlands are neatly arranged on the ground .,Several khaki circular farmlands are neatly arranged on the ground .
There are some circular farmlands .,Several green circular farmlands with different radii are on the ground and some roads go through the ground .
There are many circular farmlands .,Several dark green circular farmlands are surrounded by some rectangular farmlands .
There are some farmlands around the square .,Several circular farmlands with different colors and radii are on the ground .
There are some circular farmlands .,Several smaller circular farmlands and a larger circular farmlands are neatly arranged on the ground .
There are some circular farmlands .,Several khaki and green circular farmlands are neatly arranged on the ground .
There are some farmlands on the land .,Three khaki circular farmlands are surrounded by some rectangular farmlands .
There are some circular farmlands .,Several dark green circular farmlands and a khaki circular farmlands are on the ground and a square farmlands beside .
There are some circular farmlands .,Several green circular farmlands with different radii are neatly arranged on the wasteland .
There are many pieces of farmlands .,Several dark green circular farmlands and a khaki circular farmlands are on the ground and some rectangular farmlands beside .
There are some circular farmlands .,Several green circular farmlands are surrounded by some other shapes of farmlands .
There are some farmlands around the river .,Several dark green circular or fan-shaped farmlands with different radians are on the wasteland and a river goes through the wasteland .
There are some circular farmlands .,Several dark green circular or fan-shaped farmlands are neatly arranged on the ground .
It is a large piece of farmland .,Several khaki circular farmlands are on the wasteland .
There are many pieces of farmlands .,A dark green circular farmland and several khaki circular farmland are surrounded by some rectangular farmlands .
There are many circular farmlands .,Several dark green circular farmlands with different radii are neatly arranged on the ground .
Eight green circular farmlands are surrounded by some khaki farmlands .,Several dark green circular farmlands with different radii are surrounded by some khaki square farmlands .
There are many circular farmlands .,Several dark green circular farmlands with different radii are on the wasteland and some other shapes of farmlands beside .
There are some circular farmlands .,Several dark green circular farmlands are on the wasteland .
There are many circular farmlands .,Several khaki circular farmlands and two green circular farmlands are neatly arranged on the ground .
There are some farmlands on the land .,Two green circular farmlands are on the wasteland .
There are some farmlands around the river .,Several green circular farmlands are neatly arranged on the wasteland and some other shapes of farmlands beside .
There are many pieces of farmlands .,Several dark green circular or fan-shaped farmlands are on the ground and a village beside .
A circular farm is surrounded by some other shapes of farmlands .,A green-khaki circular farmland and a dark green circular farmland are on the wasteland and a road goes through the wasteland .
many circular farmlands are on the wasteland .,Several green circular farmlands with different radii are neatly arranged on the wasteland .
There are some circular farmlands .,Several dark green circular farmlands are on the ground .
There are some farmlands on the land .,Several khaki circular farmlands are neatly arranged on the wasteland .
There are many circular farmlands .,Several circular farmlands with different colors are on the ground and some other shapes of farmlands beside .
There are some circular farmlands .,Several circular farmlands with different colors are on the wasteland and some roads go through the wasteland .
There are some circular farmlands .,Four dark green circular farmlands are surrounded by some rectangular farmlands .
There are many pieces of farmlands .,Many dark green circular farmlands are surrounded by some other shapes of farmlands .
many circular farmlands are neatly arranged on the ground .,Several dark green circular farmlands and several khaki circular farmlands are neatly arranged on the ground .
There are some circular farmlands .,Several khaki circular farmlands are on the wasteland .
There are many pieces of farmlands .,Several circular farmlands with different colors are surrounded by some rectangular farmlands .
There are some farmlands around the square .,Several green circular farmlands are surrounded by some square farmlands .
many putting_surface trees are in many pieces of farmlands .,Several khaki circular farmlands are neatly arranged on the wasteland .
There are some farmlands around the square .,A green-khaki circular farmland is surrounded by some khaki rectangular farmlands .
There are many pieces of farmlands .,Several khaki circular farmlands are on the ground and some other shapes of farmlands beside .
There are some circular farmlands .,Several dark green circular farmlands are neatly arranged on the ground .
Some circular farmlands are neatly arranged on the ground .,Several khaki circular farmlands are next to some khaki square farmlands .
A circle farmland is surrounded by some other shapes of farmlands .,A khaki circular farmland is on the wasteland and some churches are in the wasteland .
There are many pieces of farmlands .,Several khaki circular farmlands and a green circular farmlands are surrounded by some square farmlands .
Eight khaki circular farmlands are neatly arranged on the ground .,Several khaki circular farmlands are neatly arranged on the ground .
There are some circular farmlands .,Several dark green circular farmlands are neatly arranged on the ground .
There are many pieces of farmlands .,Several circular or fan-shaped farmlands with different radii and radians are on the ground and some buildings beside .
There are many pieces of farmlands .,Several circular or fan-shaped farmlands with different radii and radians are surrounded by some square farmlands .
There are some farmlands around the center .,Several circular farmlands with different colors are on the wasteland and some roads go through the wasteland .
Two khaki circular farmlands are surrounded by some green circular farmlands .,Several circular farmlands with different colors are neatly arranged on the wasteland .
A large circular farm is surrounded by some small farmlands .,A dark green circular farmland is on the ground .
There are many circular farmlands .,Several dark green circular farmlands are surrounded by some square farmlands .
There are six circular farmlands .,Several khaki circular farmlands are on the wasteland .
many dark-green circular farmlands are neatly arranged on the ground .,Several dark green circular farmlands are surrounded by some rectangular farmlands .
There are some circular farmlands .,Several dark green and khaki circular farmlands are surrounded by some square farmlands .
There are some circular farmlands .,Several khaki circular farmlands are neatly arranged on the ground .
Two circular farmlands are on the ground .,Two green circular farmlands are on the ground .
There are some farmlands around the square .,Three khaki circular farmlands are surrounded by some other shapes of farmlands .
There are many pieces of farmlands .,Many dark green circular or fan-shaped farmlands are neatly arranged on the wasteland and a river goes through the wasteland .
There are some farmlands around the road .,Several green circular farmlands are surrounded by some rectangular farmlands .
There are some circular farmlands .,Several dark green circular farmlands are surrounded by some other shapes of farmlands .
many circular farmlands are neatly arranged on the ground .,Many circular farmlands with different colors are neatly arranged on the ground and some roads go through the ground .
This is a snowberg with a blue mountain .,The stratocumulus are located above the land covered by dense vegetation and the sea next to the land .
This is a beach with blue sea and green plants .,The cumulus clouds are located above the sea and the land covered by dense vegetation .
These are cumulus clouds and some buildings are surrounded by these clouds .,The stratus clouds are located above the khaki and green farmland .
This is a farmland with different crops .,The stratus clouds are located above the khaki and green farmland and some roads go through the land .
These clouds are located above the sea .,The cumulus clouds are located above the surface of the sea .
The cumulus clouds are located above the sea and the land covered by vegetation .,The stratus clouds are located above the sea and the land covered by dense vegetation .
These are cumulus clouds .,The cumulus clouds are located above the khaki farmland .
These are cumulus clouds .,The stratus clouds are located above the surface of the sea .
This is a blue ocean and a white cloud .,The cumulus clouds are located above the surface of the sea while some ups and downs are on the ocean floor .
This is a forest with lots of green plants and some houses .,The cumulus clouds are located above the sea and the land covered by dense vegetation .
This is a forest mountain with green plants .,The cumulus clouds are located above the land covered by some vegetation while some ups and downs are on the land .
This is a forest with green plants and white clouds .,The cumulus clouds are located above the land covered by dense vegetation .
There is a white cloud over the residential area .,The cumulus clouds are located above the city .
These are cumulus clouds in the blue sky .,The cumulus clouds are located above the surface of the sea .
This is a forest with green plants and some white clouds .,The stratus clouds are located above the land covered by spare vegetation while some ups and downs are on the land .
The cumulus clouds are located above the land covered by some vegetation .,The stratus clouds are located above the wasteland while some ups and downs are on the wasteland .
These are cumulus clouds are located above the land covered by vegetation and the water is blue .,The stratus clouds are located above the sea and the land covered by dense vegetation .
These are cumulus clouds .,The cumulus clouds are located above the surface of the sea .
These are cumulus clouds are located above the land covered by dense vegetation .,The stratus clouds are located above the land covered by dense vegetation .
This is a forest with green plants and some houses .,The cumulus clouds are located above the land covered by dense vegetation while some ups and downs are on the land .
This is a forest with green plants and some white clouds .,The stratus clouds are located above the wasteland and the land covered by dense vegetation .
This is a snowy mountain .,The stratus clouds are located above the surface of the sea .
This is a forest with lots of green plants and a river .,The cumulus clouds are located above the land covered by dense vegetation while a river and some lakes are on the land .
These clouds are located above the land covered by vegetation .,The cumulus clouds are located above the green farmland .
These are cumulus clouds .,The stratus clouds are located above the surface of the sea .
These are cumulus clouds are located above the land .,The stratocumulus are located above the surface of the sea .
These are some long white clouds in the blue sky .,The stratocumulus are located above the surface of the sea .
There are some clouds over the farmland .,The cumulus clouds are located above the khaki farmland and some roads go through the farmland .
This is a forest with green plants and white clouds .,The stratus clouds are located above the land covered by dense vegetation .
This is a forest with blue plants and some white clouds .,The stratus clouds and cumulus clouds are located above the surface of the sea while some ups and downs are on the ocean floor .
This is a forest with green plants and a lake .,The cumulus clouds are located above the land covered by dense vegetation and the shadow of the clouds is on the land .
These are cumulus clouds .,The stratus clouds are located above the land covered by dense vegetation .
This is a part of a mountain with some vegetation .,The cumulus clouds are located above the wasteland while some ups and downs are on the land .
A cloud is located above the khaki farmland .,The cumulus clouds are located above the khaki farmland and the shadow of the clouds is on the farmland .
These are cumulus clouds in the blue sky .,The stratus clouds and cumulus clouds are located above the surface of the sea .
This is a big typhoon .,The typhoon are located above the surface of the sea .
A fire is in the farmland .,The cumulus clouds are located above the village and the khaki and green farmland and the shadow of the clouds is on the city .
These are cumulus clouds in the blue sky .,The stratus clouds are located above the surface of the sea .
A smoke is in the center of the city .,The cumulus clouds are located above the city .
These are cumulus clouds over the farmland .,The cumulus clouds are located above the khaki farmland and the shadow of the clouds is on the farmland .
There are some clouds in the sky .,The stratus clouds and cumulus clouds are located above the sea and the island covered by dense vegetation .
There are some clouds over the farmland .,The cumulus clouds are located above the khaki and green farmland and some roads go through the farmland .
This is a forest with lots of green plants and a lake .,The cumulus clouds are located above the sea and the land covered by dense vegetation while some ups and downs are on the ocean floor .
There is a cloud over the residential area .,The stratus clouds are located above the city .
These are cumulus clouds are located above the land covered by vegetation and a lake is in the land .,The stratus clouds are located above the land covered by dense vegetation .
These are cumulus clouds and a snowberg .,The stratus clouds are located above the wasteland and the land covered by dense vegetation .
The cumulus clouds are located above the land covered by some vegetation .,The stratus clouds are located above the land covered by some vegetation while some ups and downs are on the land .
This is a forest with green plants .,The stratus clouds are located above the forest .
This is a mountain with a lake in it .,The cumulus clouds are located above the land covered by spare vegetation while some ups and downs are on the land .
This is a sea with some clouds .,The cumulus clouds are located above the sea and the land covered by some vegetation .
This is a piece of the sea and the clouds are in the sea .,The stratus clouds are located above the surface of the sea .
These are cumulus clouds .,The stratus clouds are located above the surface of the sea .
It is a piece of green meadow .,The stratocumulus are located above the green farmland .
These are cumulus clouds .,The cumulus clouds are located above the land covered by spare vegetation .
There are some white clouds in the mountains .,The cumulus clouds are located above the land covered by some vegetation while some ups and downs are on the land .
This is a forest with many green plants and some farmlands .,The stratus clouds are located above the khaki and green farmland .
There are some clouds in the yellow farmland .,The cumulus clouds are located above the khaki farmland and the shadow of the clouds is on the farmland .
These are cumulus clouds .,The cumulus clouds are located above the khaki farmland .
There are some clouds over the land covered by vegetation .,The stratus clouds are located above the surface of the sea and some islands are at sea .
This is a forest with green plants and some white clouds .,The stratus clouds and cumulus clouds are located above the wasteland and the land covered by dense vegetation .
These cumulus clouds are located above the land covered by some vegetation and a lake is in the land .,The stratus clouds are located above the wasteland and the land covered by some vegetation .
These are cumulus clouds .,The cumulus clouds are located above the green farmland .
There are some farmlands and clouds in the vacant lot .,The cumulus clouds are located above the khaki and green farmland .
These clouds are located above the sea and are composed of many pieces .,The stratus clouds are located above the land covered by dense vegetation .
These are cumulus clouds are located above the land covered by some vegetation .,The stratus clouds are located above the wasteland and the land covered by dense vegetation .
The cumulus clouds are located above the sea and the land covered by vegetation is next to the sea .,The stratus clouds are located above the sea and the land covered by dense vegetation .
These clouds are located above the land covered by some vegetation .,The stratocumulus are located above the wasteland .
There are some cumulus clouds over the land covered by vegetation .,The stratocumulus are located above the sea and the land covered by dense vegetation .
This is a snowberg with snow and ice and the sea is blue .,The stratus clouds are located above the surface of the sea while some ups and downs are on the ocean floor .
These are cumulus clouds .,The cumulus clouds are located above the khaki farmland and the shadow of the clouds is on the farmland .
There are some buildings with white roofs .,A commercial area has lots of buildings of different heights and some roads go through the commercial area .
There are some buildings with white roofs .,A commercial area has some varied buildings while a square and a grove of trees are also in the commercial area .
There are some buildings with white roofs .,A commercial area with some connected buildings is surrounded by some roads .
A commercial area with some buildings is surrounded by roads .,A commercial area with a building is surrounded by some roads and many items are on its roof .
There are some buildings with parking lots .,A commercial area has some high-rise buildings and some roads go through the commercial area .
There are many tall buildings with trees in the commercial area .,A commercial area has some high-rise buildings and other buildings and some groves of trees are also in the commercial area .
There are many buildings with parking lots .,A commercial area with lots of high-rise buildings is next to the waters .
There are some buildings with parking lots .,A commercial area has two high-rise buildings and some roads go through the commercial area .
many crowded buildings are in a commercial area .,A dense commercial area has lots of buildings arranged in lines and some roads go through the commercial area .
A commercial area with some buildings is surrounded by roads .,A commercial area with a building is surrounded by some roads and many items are on its roof .
There are many buildings with parking lots in the commercial area .,A commercial area has lots of buildings and some roads go through the commercial area .
There are some buildings with parking lots .,A commercial area has some buildings and two buildings also have a parking lot on the roof .
There are two tall buildings with parking lots on the top .,A commercial area with two high-rise buildings is next to the waters and a parking lot is also in the commercial area .
There are some buildings with swimming pools .,A commercial area with some high-rise buildings and other buildings is surrounded by some roads and trees .
There are lots of buildings arranged neatly .,A dense commercial area has lots of buildings arranged neatly and some roads go through the commercial area .
There are some buildings with parking lots in the commercial area .,A commercial area with some high-rise buildings and other buildings is surrounded by some roads and trees .
There are some buildings with parking lots .,A commercial area has lots of buildings of different heights and some roads go through the commercial area .
There are some buildings with grey roofs .,A commercial area has some connected buildings of different heights .
There are some buildings with white roofs .,A commercial area has lots of buildings of different heights and shapes and a grove of trees is also in the commercial area .
There are some buildings with parking lots .,A commercial area has a hexagonal building and some other buildings .
There are some buildings with parking lots .,A commercial area with some buildings of different heights is surrounded by some roads .
There are two tall buildings with parking lots .,A commercial area has three buildings and one of buildings has a parking lot on the roof .
A commercial area has some buildings of different sizes .,A commercial area has some buildings of different heights and shapes and some roads go through the commercial area .
A commercial area has some buildings and a parking lot .,A commercial area with a high-rise building is surrounded by some roads and a green brand is on its roof .
There are many buildings arranged neatly .,A dense commercial area has lots of buildings arranged neatly and some roads go through the commercial area .
There are some buildings with parking lots .,A commercial area with some connected buildings of different heights is next to the road and a parking lot is also in the commercial area .
There are some buildings with white roofs .,A commercial area has lots of buildings of different heights and shapes while some green belts are also in the commercial area .
There are some buildings with white roofs .,A commercial area has lots of buildings of different heights and shapes and a square is also in the commercial area .
There are many tall buildings with parking lots .,A commercial area has lots of buildings of different heights .
There are two tall buildings with white roofs .,A commercial area has some high-rise buildings .
There are some buildings with white roofs .,A commercial area with some connected buildings is surrounded by some roads .
A commercial area with some buildings is surrounded by roads .,A commercial area with a U-shaped building is surrounded by some roads and the lawn is behind the building .
There are lots of buildings arranged neatly .,A dense commercial area has lots of buildings arranged neatly and some roads go through the commercial area .
There are many buildings arranged neatly .,A dense commercial area has lots of buildings arranged neatly and some roads go through the commercial area .
There are some buildings arranged in lines .,A commercial area with lots of high-rise buildings of different shapes is next to the waters .
There are some buildings with parking lots .,A commercial area has lots of buildings of different heights and some roads go through the commercial area .
There are many buildings with white roofs .,A commercial area has lots of connected buildings and some roads go through the commercial area .
There are some buildings with white roofs .,A commercial area has lots of buildings of different heights and some groves of trees are also in the commercial area .
There are some buildings with parking lots .,A commercial area with some varied buildings arranged neatly is surrounded by some roads and a parking lot is on the roof of one of the buildings .
